Psub;Pins;Pomi
0.856;0.100;0.100
#Une ligne par symbole de reference; une colonne par symbole de test
	;2;9;@;e;E;o;O;a;i;u;y;a~;o~;e~;H;w;j;R;l;p;t;k;b;d;g;f;s;S;v;z;Z;m;n;J
2;0.495;0.001;0.175;0.049;0.001;0.001;0.010;0.019;0.001;0.001;0.019;0.001;0.001;0.001;0.001;0.001;0.010;0.010;0.010;0.001;0.010;0.010;0.001;0.001;0.001;0.010;0.010;0.001;0.001;0.001;0.001;0.001;0.001;0.001
9;0.001;0.560;0.036;0.024;0.024;0.036;0.001;0.001;0.024;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.012;0.001;0.012;0.001;0.001;0.012;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.012;0.001;0.001
@;0.040;0.007;0.373;0.042;0.009;0.022;0.016;0.027;0.002;0.018;0.004;0.007;0.011;0.002;0.001;0.001;0.001;0.013;0.011;0.001;0.002;0.007;0.001;0.002;0.001;0.002;0.002;0.001;0.004;0.001;0.001;0.001;0.002;0.001
e;0.003;0.001;0.013;0.698;0.038;0.001;0.004;0.018;0.018;0.004;0.016;0.003;0.001;0.003;0.001;0.001;0.003;0.010;0.013;0.003;0.007;0.005;0.001;0.005;0.001;0.001;0.003;0.001;0.002;0.001;0.002;0.001;0.003;0.001
E;0.001;0.003;0.006;0.081;0.668;0.002;0.001;0.035;0.014;0.002;0.003;0.002;0.001;0.003;0.001;0.001;0.001;0.001;0.012;0.003;0.006;0.002;0.001;0.001;0.001;0.001;0.002;0.001;0.001;0.001;0.001;0.002;0.002;0.001
o;0.001;0.007;0.022;0.002;0.002;0.665;0.062;0.022;0.001;0.029;0.002;0.011;0.011;0.002;0.001;0.001;0.001;0.015;0.004;0.001;0.001;0.004;0.001;0.002;0.002;0.002;0.007;0.001;0.001;0.001;0.001;0.004;0.004;0.001
O;0.003;0.001;0.024;0.020;0.001;0.095;0.584;0.014;0.010;0.014;0.007;0.010;0.014;0.003;0.001;0.001;0.001;0.014;0.010;0.001;0.001;0.003;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.003;0.001;0.001
a;0.001;0.001;0.007;0.016;0.014;0.006;0.002;0.743;0.003;0.002;0.004;0.009;0.003;0.027;0.001;0.001;0.001;0.011;0.003;0.001;0.004;0.001;0.001;0.002;0.001;0.001;0.001;0.001;0.002;0.002;0.001;0.002;0.001;0.001
i;0.001;0.002;0.001;0.024;0.008;0.001;0.003;0.005;0.754;0.005;0.013;0.001;0.001;0.003;0.001;0.001;0.011;0.005;0.004;0.001;0.004;0.001;0.001;0.001;0.001;0.001;0.004;0.001;0.001;0.005;0.001;0.001;0.001;0.001
u;0.001;0.001;0.017;0.013;0.002;0.028;0.009;0.006;0.013;0.704;0.002;0.006;0.009;0.004;0.001;0.002;0.002;0.006;0.006;0.001;0.002;0.002;0.002;0.001;0.002;0.002;0.001;0.001;0.004;0.002;0.002;0.002;0.002;0.001
y;0.005;0.001;0.005;0.053;0.005;0.002;0.005;0.014;0.033;0.002;0.649;0.001;0.001;0.002;0.001;0.001;0.001;0.002;0.009;0.001;0.002;0.007;0.001;0.001;0.002;0.001;0.002;0.001;0.001;0.007;0.005;0.002;0.001;0.001
a~;0.001;0.001;0.005;0.007;0.002;0.008;0.005;0.025;0.001;0.005;0.001;0.743;0.046;0.010;0.001;0.003;0.001;0.028;0.003;0.002;0.003;0.003;0.002;0.003;0.001;0.001;0.001;0.001;0.001;0.002;0.001;0.001;0.003;0.001
o~;0.001;0.001;0.012;0.001;0.001;0.012;0.009;0.012;0.001;0.009;0.001;0.066;0.728;0.007;0.001;0.007;0.001;0.019;0.002;0.002;0.002;0.001;0.001;0.002;0.001;0.001;0.005;0.001;0.005;0.001;0.001;0.007;0.005;0.001
e~;0.001;0.001;0.002;0.012;0.005;0.002;0.002;0.109;0.007;0.005;0.002;0.014;0.007;0.638;0.001;0.001;0.005;0.022;0.012;0.005;0.001;0.010;0.002;0.002;0.001;0.001;0.001;0.001;0.005;0.001;0.001;0.010;0.005;0.001
H;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.014;0.001;0.001;0.001;0.001;0.001;0.622;0.001;0.001;0.001;0.001;0.001;0.027;0.001;0.014;0.014;0.001;0.014;0.001;0.014;0.001;0.001;0.001;0.014;0.001;0.001
